particle_role,head_id,class_label,A_n,A_flow,B_n,B_flow,C_n,C_flow,B_minus_A,B_minus_C,trigger_score,loss_score,anomaly_score,diagnosis
best_lepton,L2_ch160:192,label_Hqql,1,2.4495087360230343,1,-5.161104655329041,21,-4.140937305180542,-7.610613391352075,-1.0201673501484985,0.0,7.610613391352075,7.764099296460324,source_evidence_loss_candidate
second_lepton,L2_ch128:160,label_Hqql,2,4.496306062211858,4,2.3987151831477327,35,-1.0067221691907775,-2.097590879064125,3.4054373523385104,0.0,2.097590879064125,7.143214329489542,source_evidence_loss_candidate
other_lepton,L2_ch224:256,label_Hqql,0,0.0,1,7.862528787456654,1,8.765182245653591,7.862528787456654,-0.9026534581969372,0.0,0.0,7.09713880017072,anomalous_third_topology_candidate
best_lepton,L2_ch160:192,label_Tbl,1,-0.5355995203963175,1,-1.9652431815325144,21,2.9538164091962256,-1.429643661136197,-4.9190595907287396,0.24153222977776825,0.0,7.032502362636557,anomalous_third_topology_candidate
hard_hadron,L2_ch224:256,label_Hqql,26,3.651731223005739,5,2.36869853845421,55,7.556181012282638,-1.2830326845515292,-5.187482473828428,0.0,1.2830326845515292,6.655709564460096,source_evidence_loss_candidate
particle0_best_lepton,L2_ch224:256,label_Tbl,31,15.755528054430142,10,15.074965394465243,107,24.127586558849675,-0.6805626599648988,-9.052621164384432,0.06770002060518042,0.0,6.160875939288008,anomalous_third_topology_candidate
hard_hadron,L2_ch224:256,label_Tbl,26,3.577903572350407,5,1.685020361467025,55,4.519415833615666,-1.8928832108833822,-2.834395472148641,0.4936588373923482,0.0,5.365179602234039,anomalous_third_topology_candidate
hardest_hadron,L2_ch160:192,label_Tbl,8,0.9552822267686376,2,2.654028324133236,14,-0.45990768187142095,1.6987460973645985,3.113936006004657,0.41292477444596287,0.0,5.289786637643516,anomalous_third_topology_candidate
photon_neighbor,L2_ch224:256,label_Tbl,16,4.802570885963474,3,2.8566399125763176,51,5.47526453226862,-1.9459309733871568,-2.618624619692303,0.5377543066494204,0.0,5.095662755133416,anomalous_third_topology_candidate
other_lepton,L2_ch32:64,label_Hqql,0,0.0,1,-3.143704378980715,2,-1.5610633806412082,-3.143704378980715,-1.5826409983395067,0.0,3.143704378980715,4.975355436834318,source_evidence_loss_candidate
second_lepton,L2_ch0:32,label_Tbl,1,2.506547384073315,3,0.3989340347869472,28,2.5026106359215086,-2.1076133492863676,-2.1036766011345613,0.6790698968171881,0.0,4.433736887132575,target_like_trigger_candidate
photon_neighbor,L2_ch0:32,label_Hqql,13,2.0155467459489134,0,0.0,41,2.121826046463987,-2.0155467459489134,-2.121826046463987,0.0,2.0155467459489134,4.2766395834201365,source_evidence_loss_candidate
particle0_best_lepton,L2_ch32:64,label_Tbl,31,0.3232023004315204,10,1.0909340264554885,107,6.623643343436966,0.7677317260239682,-5.532709316981478,0.11752118283118534,0.0,4.2476364735150804,anomalous_third_topology_candidate
