patch,layer,group,class_id,class_label,n,base_acc,patch_acc,acc_drop,pred_logit_drop
edge_channel_head_zero,1,ch80:96,7,label_Wqq,128,0.71875,0.7421875,-0.0234375,-0.08937129378318787
edge_channel_head_zero,1,ch32:48,7,label_Wqq,128,0.71875,0.6328125,0.0859375,0.04732946678996086
edge_channel_head_zero,2,ch160:192,7,label_Wqq,128,0.71875,0.7421875,-0.0234375,0.029154932126402855
edge_channel_head_zero,2,ch32:64,7,label_Wqq,128,0.71875,0.7421875,-0.0234375,0.02847485989332199
edge_channel_head_zero,1,ch16:32,6,label_Zqq,128,0.625,0.0859375,0.5390625,11.07955551147461
edge_channel_head_zero,2,ch224:256,6,label_Zqq,128,0.625,0.3984375,0.2265625,5.910900115966797
edge_channel_head_zero,0,ch40:48,6,label_Zqq,128,0.625,0.078125,0.546875,5.1455583572387695
edge_channel_head_zero,0,ch24:32,6,label_Zqq,128,0.625,0.1953125,0.4296875,3.419175148010254
edge_channel_head_zero,1,ch112:128,6,label_Zqq,128,0.625,0.3515625,0.2734375,2.9673476219177246
edge_channel_head_zero,0,ch8:16,6,label_Zqq,128,0.625,0.40625,0.21875,1.8276172876358032
edge_channel_head_zero,2,ch64:96,6,label_Zqq,128,0.625,0.5234375,0.1015625,1.5140576362609863
edge_channel_head_zero,0,ch48:56,6,label_Zqq,128,0.625,0.3671875,0.2578125,1.3982338905334473
edge_channel_head_zero,0,ch16:24,6,label_Zqq,128,0.625,0.3984375,0.2265625,1.3779628276824951
edge_channel_head_zero,0,ch0:8,6,label_Zqq,128,0.625,0.3515625,0.2734375,1.2384183406829834
edge_channel_head_zero,0,ch32:40,6,label_Zqq,128,0.625,0.4296875,0.1953125,0.8198065161705017
edge_channel_head_zero,0,ch56:64,6,label_Zqq,128,0.625,0.6171875,0.0078125,0.5751465559005737
edge_channel_head_zero,1,ch96:112,6,label_Zqq,128,0.625,0.6015625,0.0234375,0.5725336074829102
edge_channel_head_zero,1,ch0:16,6,label_Zqq,128,0.625,0.4375,0.1875,0.45386913418769836
edge_channel_head_zero,2,ch192:224,6,label_Zqq,128,0.625,0.6640625,-0.0390625,0.4334215223789215
edge_channel_head_zero,2,ch0:32,6,label_Zqq,128,0.625,0.6015625,0.0234375,0.3725864291191101
edge_channel_head_zero,1,ch48:64,6,label_Zqq,128,0.625,0.578125,0.046875,0.262711763381958
edge_channel_head_zero,2,ch128:160,6,label_Zqq,128,0.625,0.5546875,0.0703125,0.2428298443555832
edge_channel_head_zero,2,ch96:128,6,label_Zqq,128,0.625,0.5859375,0.0390625,0.20979756116867065
edge_channel_head_zero,1,ch32:48,6,label_Zqq,128,0.625,0.6328125,-0.0078125,0.10741102695465088
edge_channel_head_zero,2,ch160:192,6,label_Zqq,128,0.625,0.640625,-0.015625,0.0988834947347641
edge_channel_head_zero,1,ch80:96,6,label_Zqq,128,0.625,0.6171875,0.0078125,-0.057113923132419586
edge_channel_head_zero,1,ch64:80,6,label_Zqq,128,0.625,0.578125,0.046875,-0.016173848882317543
edge_channel_head_zero,2,ch32:64,6,label_Zqq,128,0.625,0.609375,0.015625,0.006866385228931904
